row_num,timestamp,run_id,sensor,tube,angle,position,adjusted_position,perpendicular_position,encoder_left,encoder_right,thickness_rc,score_rc,daq_timestamp,byte_offset
1,1662011046.526169,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2090,11,1662011045594.9282,14
2,1662011046.526169,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3114,28,1662011045596.1782,4028
3,1662011046.526169,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3047,17,1662011045598.6785,8042
4,1662011046.526169,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.1849,6,1662011045601.1794,12056
5,1662011046.526169,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1499,3,1662011045602.4294,16070
6,1662011046.526169,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045603.6794,20084
7,1662011046.526169,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1522,2,1662011045604.9292,24098
8,1662011046.526169,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1341,4,1662011045606.1792,28112
9,1662011046.526169,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,15,1662011045607.4302,32126
10,1662011046.526169,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3110,10,1662011045608.6802,36140
11,1662011046.526169,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.1023,3,1662011045609.9302,40154
12,1662011046.526169,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2287,3,1662011045611.1804,44168
13,1662011046.526169,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.5195,12,1662011045613.6814,48182
14,1662011046.526169,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.1091,16,1662011045616.1814,52196
15,1662011046.526169,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045619.9324,56210
16,1662011046.526169,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045621.1821,60224
17,1662011046.526169,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.1300,2,1662011045622.4321,64238
18,1662011046.526169,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0885,45,1662011045623.6824,68252
19,1662011046.526169,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1932,3,1662011045624.9324,72266
20,1662011046.526169,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045626.1833,76280
21,1662011046.526169,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.0594,0,1662011045627.4333,80294
22,1662011046.526169,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1116,47,1662011045628.6833,84308
23,1662011046.526169,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1649,1,1662011045629.9333,88322
24,1662011046.526169,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3153,12,1662011045631.1833,92336
25,1662011046.526169,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2090,11,1662011045634.9343,96350
26,1662011046.526169,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3045,23,1662011045636.1843,100364
27,1662011046.526169,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3093,17,1662011045638.6853,104378
28,1662011046.526169,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.1861,6,1662011045641.1853,108392
29,1662011046.526169,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1510,3,1662011045642.4353,112406
30,1662011046.526169,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045643.6853,116420
31,1662011046.526169,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1696,0,1662011045644.9363,120434
32,1662011046.526169,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1317,5,1662011045646.1863,124448
33,1662011046.526169,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,15,1662011045647.4363,128462
34,1662011046.526169,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3134,10,1662011045648.6865,132476
35,1662011046.526169,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.2599,3,1662011045649.9363,136490
36,1662011046.526169,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2206,0,1662011045651.1875,140504
37,1662011046.526169,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.5447,12,1662011045653.6873,144518
38,1662011046.526169,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.5834,5,1662011045656.1873,148532
39,1662011046.526169,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045659.9382,152546
40,1662011046.526169,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045661.1885,156560
41,1662011046.526169,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.5105,2,1662011045662.4385,160574
42,1662011046.526169,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0896,47,1662011045663.6895,164588
43,1662011046.526169,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.0719,3,1662011045664.9395,168602
44,1662011046.526169,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045666.1895,172616
45,1662011046.526169,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7570,1,1662011045667.4392,176630
46,1662011046.526169,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1104,47,1662011045668.6892,180644
47,1662011046.526169,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1603,1,1662011045669.9402,184658
48,1662011046.526169,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3141,12,1662011045671.1902,188672
49,1662011046.526169,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2159,11,1662011045674.9404,192686
50,1662011046.526169,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3069,28,1662011045676.1914,196700
51,1662011046.526169,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3093,17,1662011045678.6914,200714
52,1662011046.526169,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.3047,5,1662011045681.1912,204728
53,1662011046.526169,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1499,3,1662011045682.4424,208742
54,1662011046.526169,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045683.6921,212756
55,1662011046.526169,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.0629,2,1662011045684.9421,216770
56,1662011046.526169,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1342,5,1662011045686.1924,220784
57,1662011046.526996,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,15,1662011045687.4424,224798
58,1662011046.526996,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3110,9,1662011045688.6934,228812
59,1662011046.526996,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.1069,3,1662011045689.9434,232826
60,1662011046.526996,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2322,3,1662011045691.1934,236840
61,1662011046.526996,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.6169,12,1662011045693.6934,240854
62,1662011046.526996,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.1560,68,1662011045696.1943,244868
63,1662011046.526996,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045699.9443,248882
64,1662011046.526996,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045701.1953,252896
65,1662011046.526996,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.5173,2,1662011045702.4453,256910
66,1662011046.526996,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0885,47,1662011045703.6953,260924
67,1662011046.526996,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1815,2,1662011045704.9453,264938
68,1662011046.526996,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045706.1953,268952
69,1662011046.526996,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7547,1,1662011045707.4463,272966
70,1662011046.526996,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1104,47,1662011045708.6963,276980
71,1662011046.526996,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1568,1,1662011045709.9463,280994
72,1662011046.526996,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3153,12,1662011045711.1965,285008
73,1662011046.526996,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2090,11,1662011045714.9473,289022
74,1662011046.526996,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3102,28,1662011045716.1973,293036
75,1662011046.526996,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3070,17,1662011045718.6973,297050
76,1662011046.526996,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.3186,5,1662011045721.1982,301064
77,1662011046.526996,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1522,3,1662011045722.4482,305078
78,1662011046.526996,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045723.6985,309092
79,1662011046.526996,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.2009,2,1662011045724.9485,313106
80,1662011046.526996,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1330,5,1662011045726.1995,317120
81,1662011046.526996,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,14,1662011045727.4495,321134
82,1662011046.526996,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3110,9,1662011045728.6992,325148
83,1662011046.526996,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.1314,3,1662011045729.9492,329162
84,1662011046.526996,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.0919,3,1662011045731.1992,333176
85,1662011046.526996,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.5252,12,1662011045733.7002,337190
86,1662011046.526996,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.1481,48,1662011045736.2004,341204
87,1662011046.526996,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045739.9514,345218
88,1662011046.526996,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045741.2014,349232
89,1662011046.526996,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.5417,2,1662011045742.4514,353246
90,1662011046.526996,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.2614,47,1662011045743.7012,357260
91,1662011046.526996,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1886,3,1662011045744.9521,361274
92,1662011046.526996,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045746.2021,365288
93,1662011046.526996,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7547,1,1662011045747.4521,369302
94,1662011046.526996,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1104,47,1662011045748.7024,373316
95,1662011046.526996,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1719,1,1662011045749.9524,377330
96,1662011046.526996,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3141,12,1662011045751.2034,381344
97,1662011046.526996,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2078,11,1662011045754.9534,385358
98,1662011046.526996,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3034,28,1662011045756.2034,389372
99,1662011046.526996,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3047,17,1662011045758.7043,393386
100,1662011046.526996,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.1849,6,1662011045761.2043,397400
101,1662011046.526996,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1533,3,1662011045762.4543,401414
102,1662011046.526996,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045763.7053,405428
103,1662011046.526996,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1464,2,1662011045764.9553,409442
104,1662011046.526996,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1330,5,1662011045766.2053,413456
105,1662011046.526996,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3082,14,1662011045767.4553,417470
106,1662011046.526996,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3110,9,1662011045768.7053,421484
107,1662011046.526996,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.2588,3,1662011045769.9563,425498
108,1662011046.526996,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2310,3,1662011045771.2063,429512
109,1662011046.526996,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.5538,12,1662011045773.7063,433526
110,1662011046.526996,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.2108,54,1662011045776.2073,437540
111,1662011046.526996,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045779.9573,441554
112,1662011046.526996,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045781.2073,445568
113,1662011046.526996,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.1288,2,1662011045782.4583,449582
114,1662011046.526996,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0896,46,1662011045783.7083,453596
115,1662011046.526996,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1852,3,1662011045784.9583,457610
116,1662011046.526996,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045786.2085,461624
117,1662011046.526996,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7454,4,1662011045787.4585,465638
118,1662011046.526996,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1116,47,1662011045788.7095,469652
119,1662011046.526996,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1696,1,1662011045789.9595,473666
120,1662011046.526996,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3153,12,1662011045791.2092,477680
121,1662011046.611700,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2090,11,1662011045794.9602,481694
122,1662011046.611700,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3068,22,1662011045796.2102,485708
123,1662011046.611700,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3070,17,1662011045798.7104,489722
124,1662011046.611700,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.1861,6,1662011045801.2114,493736
125,1662011046.611700,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1510,3,1662011045802.4614,497750
126,1662011046.611700,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045803.7114,501764
127,1662011046.611700,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.7389,1,1662011045804.9612,505778
128,1662011046.611700,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.3023,5,1662011045806.2112,509792
129,1662011046.611700,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,15,1662011045807.4622,513806
130,1662011046.611700,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3145,9,1662011045808.7122,517820
131,1662011046.611700,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.1302,3,1662011045809.9622,521834
132,1662011046.611700,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2762,3,1662011045811.2124,525848
133,1662011046.611700,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.5642,11,1662011045813.7134,529862
134,1662011046.611700,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.3251,26,1662011045816.2134,533876
135,1662011046.611700,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045819.9644,537890
136,1662011046.611700,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045821.214,541904
137,1662011046.611700,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.1393,2,1662011045822.464,545918
138,1662011046.611700,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0885,46,1662011045823.7144,549932
139,1662011046.611700,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1910,3,1662011045824.9644,553946
140,1662011046.611700,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045826.2153,557960
141,1662011046.611700,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7454,4,1662011045827.4653,561974
142,1662011046.611700,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1116,47,1662011045828.7153,565988
143,1662011046.611700,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1522,1,1662011045829.9653,570002
144,1662011046.611700,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3141,12,1662011045831.2153,574016
145,1662011046.611700,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2159,11,1662011045834.9663,578030
146,1662011046.611700,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3102,28,1662011045836.2163,582044
147,1662011046.611700,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3105,17,1662011045838.7173,586058
148,1662011046.611700,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.0663,10,1662011045841.2173,590072
149,1662011046.611700,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1510,3,1662011045842.4673,594086
150,1662011046.611700,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045843.7173,598100
151,1662011046.611700,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1511,2,1662011045844.9683,602114
152,1662011046.611700,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1330,4,1662011045846.2183,606128
153,1662011046.611700,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,14,1662011045847.4683,610142
154,1662011046.611700,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3134,9,1662011045848.7185,614156
155,1662011046.611700,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.5266,3,1662011045849.9685,618170
156,1662011046.611700,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.1952,1,1662011045851.2195,622184
157,1662011046.611700,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.6352,12,1662011045853.7192,626198
158,1662011046.611700,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.0782,100,1662011045856.2192,630212
159,1662011046.612664,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045859.9702,634226
160,1662011046.612664,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045861.2205,638240
161,1662011046.612664,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.5162,0,1662011045862.4705,642254
162,1662011046.612664,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.3271,46,1662011045863.7214,646268
163,1662011046.612664,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1780,2,1662011045864.9714,650282
164,1662011046.612664,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045866.2214,654296
165,1662011046.612664,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7547,1,1662011045867.4712,658310
166,1662011046.612664,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1116,47,1662011045868.7212,662324
167,1662011046.612664,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.2391,1,1662011045869.9722,666338
168,1662011046.612664,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3141,12,1662011045871.2222,670352
